City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
57,Sohag,EG,2020-12-09 08:54:47,26.56,31.69,66.2,52,0,6.93,clear sky,0,0
58,Palmer,US,2020-12-09 08:54:47,42.16,-72.33,21.0,92,1,3.36,clear sky,0,0
59,Tessalit,ML,2020-12-09 08:54:48,20.2,1.01,71.49,20,0,10.58,clear sky,0,0
60,Hermanus,ZA,2020-12-09 08:54:48,-34.42,19.23,66.99,91,31,4.0,scattered clouds,0,0
61,Manubul,PH,2020-12-09 08:54:48,5.47,120.8,84.81,76,46,12.75,scattered clouds,0,0
62,Punta Arenas,CL,2020-12-09 08:54:48,-53.15,-70.92,48.2,76,60,18.34,broken clouds,0,0
63,Bambous Virieux,MU,2020-12-09 08:54:48,-20.34,57.76,81.0,65,75,16.11,shower rain,0,0
64,Pangnirtung,CA,2020-12-09 08:54:49,66.15,-65.71,22.42,92,100,3.85,overcast clouds,0,0
65,Pevek,RU,2020-12-09 08:54:49,69.7,170.31,5.16,95,100,6.87,light snow,0,0
66,Starodubskoye,RU,2020-12-09 08:54:49,44.56,44.02,36.25,80,98,14.97,overcast clouds,0,0
67,La Rioja,ES,2020-12-09 08:54:49,42.25,-2.5,41.0,86,75,16.11,broken clouds,0,0
68,Faanui,PF,2020-12-09 08:54:50,-16.48,-151.75,77.31,83,100,22.32,light rain,0,0
69,Moron,AR,2020-12-09 08:54:50,-34.65,-58.62,71.01,91,0,7.14,clear sky,0,0
70,Kavieng,PG,2020-12-09 08:54:50,-2.57,150.8,83.91,66,60,0.65,broken clouds,0,0
71,Bira,RU,2020-12-09 08:54:50,49.0,132.47,10.45,87,16,1.79,few clouds,0,0
72,Saskylakh,RU,2020-12-09 08:54:50,71.92,114.08,-16.94,88,100,5.19,overcast clouds,0,0
73,Shihezi,CN,2020-12-09 08:54:51,44.3,86.03,21.49,93,0,0.89,clear sky,0,0
74,Ostrovnoy,RU,2020-12-09 08:54:51,68.05,39.51,25.63,96,100,21.74,overcast clouds,0,0
75,Arraial Do Cabo,BR,2020-12-09 08:53:50,-22.97,-42.03,71.6,85,75,4.7,light rain,0,0
76,Lincoln,US,2020-12-09 08:54:51,40.8,-96.67,46.0,59,1,3.36,clear sky,0,0
77,Puerto Ayora,EC,2020-12-09 08:54:52,-0.74,-90.35,72.0,94,35,8.01,scattered clouds,0,0
78,Port Hedland,AU,2020-12-09 08:54:52,-20.32,118.57,93.2,44,90,8.05,overcast clouds,0,0
79,Amahai,ID,2020-12-09 08:52:02,-3.33,128.92,84.0,73,90,2.53,overcast clouds,0,0
80,Lebu,CL,2020-12-09 08:54:52,-37.62,-73.65,50.61,85,1,15.19,clear sky,0,0
81,Dauriya,RU,2020-12-09 08:54:52,49.93,116.87,4.05,90,56,5.79,broken clouds,0,0
82,Bredasdorp,ZA,2020-12-09 08:54:53,-34.53,20.04,68.0,82,90,11.41,light rain,0,0
83,Asau,RO,2020-12-09 08:54:53,46.43,26.4,28.99,26,100,3.15,overcast clouds,0,0
