City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
71,rio grande,BR,2020-12-08 08:04:11,-32.03,-52.1,66.0,91,56,4.0
72,andradas,BR,2020-12-08 08:04:12,-22.07,-46.57,66.04,92,100,2.77
73,roald,NO,2020-12-08 08:04:12,62.58,6.13,50.0,57,0,10.29
74,olafsvik,IS,2020-12-08 08:04:12,64.89,-23.71,35.24,90,71,8.95
75,iquitos,PE,2020-12-08 08:04:12,-3.75,-73.25,75.2,94,75,3.36
76,longyearbyen,SJ,2020-12-08 08:04:12,78.22,15.64,23.0,57,75,21.92
77,okhotsk,RU,2020-12-08 08:04:13,59.38,143.3,-6.57,85,97,15.84
78,mitsamiouli,KM,2020-12-08 08:04:13,-11.38,43.28,83.26,65,0,6.15
79,new norfolk,AU,2020-12-08 08:04:13,-42.78,147.06,62.01,66,100,4.0
80,te anau,NZ,2020-12-08 08:04:14,-45.42,167.72,51.64,73,4,7.23
81,kapaa,US,2020-12-08 08:04:14,22.08,-159.32,78.8,74,75,11.41
82,karasburg,NA,2020-12-08 08:04:14,-28.02,18.75,72.77,34,0,7.38
83,huanren,CN,2020-12-08 08:04:14,41.26,125.37,24.49,70,0,2.75
84,vaini,TO,2020-12-08 08:04:15,-21.2,-175.2,78.8,83,20,10.29
85,hilo,US,2020-12-08 08:02:38,19.73,-155.09,75.2,73,90,4.7
86,bay roberts,CA,2020-12-08 08:02:04,47.6,-53.26,37.99,93,75,19.46
87,sambava,MG,2020-12-08 08:04:15,-14.27,50.17,82.2,65,49,7.72
88,yarada,IN,2020-12-08 08:04:15,17.65,83.27,86.0,40,0,9.17
89,conceicao do araguaia,BR,2020-12-08 08:04:16,-8.26,-49.26,73.36,88,99,1.99
90,shanghai,CN,2020-12-08 08:00:14,31.22,121.46,52.0,57,75,11.18
91,kachiry,KZ,2020-12-08 08:04:16,53.07,76.1,15.1,96,100,18.72
92,salym,RU,2020-12-08 08:04:16,60.06,71.48,16.63,97,84,3.89
93,lompoc,US,2020-12-08 08:04:16,34.64,-120.46,64.4,25,1,13.87
94,road town,VG,2020-12-08 08:04:17,18.42,-64.62,75.2,83,1,4.7
95,mastic beach,US,2020-12-08 08:04:17,40.77,-72.85,33.01,75,100,5.01
96,asau,RO,2020-12-08 08:04:17,46.43,26.4,28.0,29,100,2.51
97,taoudenni,ML,2020-12-08 08:04:17,22.68,-3.98,58.1,33,0,13.69
98,cayenne,GF,2020-12-08 08:04:18,4.93,-52.33,75.2,100,89,2.24
99,khatanga,RU,2020-12-08 08:04:18,71.97,102.5,-12.46,90,100,8.55
100,ocotal,NI,2020-12-08 08:02:04,13.63,-86.48,65.12,90,8,3.27
101,margate,GB,2020-12-08 08:03:00,51.38,1.39,41.0,89,100,2.01
102,hambantota,LK,2020-12-08 08:04:18,6.12,81.12,87.8,70,40,6.93
103,port blair,IN,2020-12-08 08:04:19,11.67,92.75,82.2,68,52,12.97
104,ribeira grande,PT,2020-12-08 08:04:19,38.52,-28.7,60.8,63,75,16.11
105,port alfred,ZA,2020-12-08 08:04:19,-33.59,26.89,81.55,58,100,4.41
106,saint-georges,GD,2020-12-08 08:04:19,12.06,-61.75,77.0,83,20,10.29
107,barrow,US,2020-12-08 08:04:19,71.29,-156.79,3.2,77,90,18.34
108,nan,TH,2020-12-08 08:04:20,18.83,100.67,82.4,48,0,3.36
109,boa vista,BR,2020-12-08 08:04:20,2.82,-60.67,78.8,83,40,2.24
110,cabo san lucas,MX,2020-12-08 08:04:20,22.89,-109.91,59.0,76,97,1.99
111,christchurch,NZ,2020-12-08 08:03:19,-43.53,172.63,71.6,26,100,11.41
112,gamba,GA,2020-12-08 08:04:20,-2.65,10.0,78.84,86,100,11.05
113,ormara,PK,2020-12-08 08:04:21,25.21,64.64,78.31,58,0,5.06
114,nome,US,2020-12-08 08:04:18,64.5,-165.41,2.84,88,8,7.14
115,petrovsk-zabaykalskiy,RU,2020-12-08 08:04:21,51.27,108.84,6.39,87,97,2.91
116,sorong,ID,2020-12-08 08:02:51,-0.88,131.25,83.14,76,100,1.86
117,mogadishu,SO,2020-12-08 08:04:21,2.04,45.34,82.04,71,97,13.02
118,flin flon,CA,2020-12-08 08:04:22,54.77,-101.86,36.05,84,0,10.25
119,georgetown,MY,2020-12-08 07:59:40,5.41,100.34,89.6,66,20,9.17
120,mogadouro,PT,2020-12-08 08:04:22,41.34,-6.71,39.0,92,5,5.01
121,castro,BR,2020-12-08 08:00:46,-24.79,-50.01,59.11,98,69,2.06
122,san cristobal,VE,2020-12-08 08:04:22,7.77,-72.22,64.15,83,12,1.52
123,ulaanbaatar,MN,2020-12-08 08:04:23,47.91,106.88,-5.8,70,75,4.47
124,luan,CH,2020-12-08 08:04:23,46.36,6.98,36.0,93,47,5.73
125,aniva,RU,2020-12-08 08:04:23,46.71,142.53,23.0,85,40,11.18
126,sikonge,TZ,2020-12-08 08:04:23,-5.63,32.77,77.0,61,20,11.41
127,vostok,RU,2020-12-08 08:04:23,46.49,135.88,2.05,96,99,3.74
128,ilhabela,BR,2020-12-08 08:01:05,-23.78,-45.36,73.35,87,100,2.15
129,provideniya,RU,2020-12-08 08:04:24,64.38,-173.3,15.98,87,0,7.25
130,riyadh,SA,2020-12-08 08:04:24,24.69,46.72,60.8,55,0,3.36
131,gizo,SB,2020-12-08 08:04:24,-8.1,156.84,84.31,69,95,2.86
132,petrovskoye,RU,2020-12-08 08:04:24,57.01,39.27,21.15,91,0,5.66
133,waddan,LY,2020-12-08 08:04:25,29.16,16.14,58.37,28,0,3.56
134,korla,CN,2020-12-08 08:04:25,41.76,86.15,31.68,83,25,2.95
135,mackay,AU,2020-12-08 08:00:37,-21.15,149.2,86.0,74,94,17.22
136,suicheng,CN,2020-12-08 08:03:04,33.9,117.93,44.65,55,0,7.02
137,thinadhoo,MV,2020-12-08 08:04:25,0.53,72.93,81.9,79,97,12.53
138,kirillov,RU,2020-12-08 08:04:26,59.86,38.38,8.6,92,0,7.23
139,yar-sale,RU,2020-12-08 08:04:26,66.83,70.83,-1.19,86,65,7.34
140,cherskiy,RU,2020-12-08 08:04:26,68.75,161.3,-17.3,88,85,1.25
141,estacion coahuila,MX,2020-12-08 08:04:26,32.19,-115.0,60.8,18,1,12.75
142,lasa,IT,2020-12-08 08:04:26,46.62,10.7,36.0,92,90,5.82
143,gat,IL,2020-12-08 08:03:01,31.61,34.76,69.01,48,0,5.01
144,arraial do cabo,BR,2020-12-08 08:04:27,-22.97,-42.03,74.08,93,100,16.6
145,maxixe,MZ,2020-12-08 08:04:27,-23.86,35.35,80.6,61,75,9.17
146,chuy,UY,2020-12-08 08:04:27,-33.7,-53.46,60.46,87,42,5.77
147,souillac,MU,2020-12-08 08:04:28,-20.52,57.52,86.0,62,20,9.17
148,saldanha,ZA,2020-12-08 08:04:28,-33.01,17.94,62.6,73,40,11.41
149,flinders,AU,2020-12-08 08:04:28,-34.58,150.86,66.2,45,20,11.41
150,tuatapere,NZ,2020-12-08 08:04:28,-46.13,167.68,57.99,74,0,11.01
151,fortuna,US,2020-12-08 08:01:35,40.6,-124.16,55.0,44,97,3.04
152,mar del plata,AR,2020-12-08 08:00:26,-38.0,-57.56,62.01,93,0,3.36
153,nguruka,TZ,2020-12-08 08:01:00,-5.11,31.04,78.13,66,9,4.76
154,atbasar,KZ,2020-12-08 08:04:29,51.8,68.33,9.54,94,99,15.23
155,pisco,PE,2020-12-08 08:04:29,-13.7,-76.22,66.2,82,0,4.7
156,dodola,ET,2020-12-08 08:04:30,6.98,39.18,64.36,44,64,8.55
157,hithadhoo,MV,2020-12-08 08:04:30,-0.6,73.08,82.27,77,47,11.7
158,sulangan,PH,2020-12-08 08:04:31,11.14,123.72,84.78,75,100,6.08
159,porto novo,BJ,2020-12-08 08:01:03,6.5,2.6,77.0,94,40,4.7
160,kaura namoda,NG,2020-12-08 08:04:31,12.59,6.58,82.36,16,11,16.78
161,upernavik,GL,2020-12-08 08:04:31,72.79,-56.15,21.07,97,100,10.27
162,humberto de campos,BR,2020-12-08 08:02:19,-2.6,-43.46,77.59,85,100,6.69
163,mazyr,BY,2020-12-08 08:01:40,52.05,29.25,20.23,87,0,15.37
164,russell,US,2020-12-08 08:00:14,32.35,-85.2,35.6,80,1,5.82
165,masindi,UG,2020-12-08 08:04:32,1.67,31.71,79.11,69,4,1.86
166,srednekolymsk,RU,2020-12-08 08:04:32,67.45,153.68,-27.65,84,35,9.4
167,ulaangom,MN,2020-12-08 08:04:32,49.98,92.07,5.7,89,100,2.64
168,sretensk,RU,2020-12-08 08:04:32,52.25,117.71,7.36,91,100,3.4
169,punta de piedra,VE,2020-12-08 08:04:33,7.62,-71.49,70.18,92,64,2.3
170,alice springs,AU,2020-12-08 08:02:29,-23.7,133.88,90.0,11,0,12.75
171,grand gaube,MU,2020-12-08 08:04:33,-20.01,57.66,86.0,62,20,9.17
172,bengkulu,ID,2020-12-08 08:04:33,-3.8,102.27,82.96,75,14,7.45
173,saskylakh,RU,2020-12-08 08:04:34,71.92,114.08,-17.23,87,100,2.44
174,arrecife,ES,2020-12-08 08:00:23,28.96,-13.55,60.8,77,40,9.17
175,sao joao da barra,BR,2020-12-08 08:04:34,-21.64,-41.05,74.57,87,96,18.86
176,marawi,PH,2020-12-08 08:04:34,8.0,124.29,81.0,85,97,1.99
177,santa maria da vitoria,BR,2020-12-08 08:04:35,-13.39,-44.19,69.06,84,26,1.12
178,plettenberg bay,ZA,2020-12-08 08:04:35,-34.05,23.37,73.31,69,100,10.71
179,kudahuvadhoo,MV,2020-12-08 08:04:35,2.67,72.89,82.69,71,57,7.43
180,saint george,US,2020-12-08 08:00:28,37.1,-113.58,42.01,29,0,1.01
181,thompson,CA,2020-12-08 08:04:09,55.74,-97.86,30.2,100,75,8.05
182,pitimbu,BR,2020-12-08 08:04:36,-7.47,-34.81,73.4,100,40,2.24
183,iqaluit,CA,2020-12-08 08:04:36,63.75,-68.51,17.6,72,40,4.7
184,broome,US,2020-12-08 08:04:36,42.25,-75.83,26.01,85,90,17.22
185,san quintin,MX,2020-12-08 08:04:36,30.48,-115.95,56.39,69,42,2.17
186,samarai,PG,2020-12-08 08:04:36,-10.62,150.67,83.5,78,100,4.34
187,tibati,CM,2020-12-08 08:04:37,6.47,12.63,87.62,18,0,8.32
188,ahipara,NZ,2020-12-08 08:04:37,-35.17,173.17,64.4,89,0,7.9
189,kodiak,US,2020-12-08 08:04:37,57.79,-152.41,36.0,64,100,8.99
190,port lincoln,AU,2020-12-08 08:04:37,-34.73,135.87,60.28,60,0,10.4
191,mahebourg,MU,2020-12-08 08:04:38,-20.41,57.7,86.0,62,20,9.17
192,shelburne,CA,2020-12-08 08:04:38,44.08,-80.2,19.4,92,20,7.78
193,avarua,CK,2020-12-08 08:04:38,-21.21,-159.78,78.8,78,1,6.93
194,fort nelson,CA,2020-12-08 08:04:38,58.81,-122.7,15.8,92,5,2.24
195,bukan,IR,2020-12-08 08:04:39,36.52,46.21,32.22,92,0,3.58
196,cidreira,BR,2020-12-08 08:04:39,-30.18,-50.21,65.17,93,17,6.04
