City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
56,Saskylakh,RU,2020-12-09 18:48:49,71.92,114.08,-17.41,87,100,11.68,overcast clouds,0,0
57,Kopavogur,IS,2020-12-09 18:48:49,64.11,-21.91,35.6,69,0,4.7,clear sky,0,0
58,Mount Isa,AU,2020-12-09 18:48:49,-20.73,139.5,84.2,11,100,8.05,overcast clouds,0,0
59,Punta Arenas,CL,2020-12-09 18:46:30,-53.15,-70.92,57.2,47,75,14.99,broken clouds,0,0
60,Ribeira Grande,PT,2020-12-09 18:48:49,38.52,-28.7,64.4,88,75,11.41,broken clouds,0,0
61,Gejiu,CN,2020-12-09 18:48:50,23.31,103.16,45.18,100,53,3.22,broken clouds,0,0
62,Yellowknife,CA,2020-12-09 18:44:59,62.46,-114.35,3.2,84,75,4.7,broken clouds,0,0
63,Khasan,RU,2020-12-09 18:48:50,42.43,130.64,29.62,88,70,3.02,broken clouds,0,0
64,Hasaki,JP,2020-12-09 18:48:50,35.73,140.83,46.4,75,75,9.17,broken clouds,0,0
65,Avarua,CK,2020-12-09 18:48:50,-21.21,-159.78,80.6,78,5,6.93,clear sky,0,0
66,Skelleftea,SE,2020-12-09 18:45:50,64.75,20.95,35.01,87,90,13.87,overcast clouds,0,0
67,Clyde River,CA,2020-12-09 18:48:51,70.47,-68.59,8.6,100,90,2.24,light snow,0,0
68,Coihueco,CL,2020-12-09 18:44:20,-36.62,-71.83,84.2,23,0,10.29,clear sky,0,0
69,Klaksvik,FO,2020-12-09 18:48:51,62.23,-6.59,47.01,89,100,26.08,light rain,0,0
70,Saldanha,ZA,2020-12-09 18:45:48,-33.01,17.94,66.2,77,100,12.75,overcast clouds,0,0
71,Lata,PT,2020-12-09 18:48:52,40.16,-8.33,51.8,93,40,3.36,scattered clouds,0,0
72,Unity,CA,2020-12-09 18:48:52,52.45,-109.17,31.68,97,100,8.55,overcast clouds,0,0
73,Hvide Sande,DK,2020-12-09 18:48:52,56.0,8.13,41.0,82,100,9.06,overcast clouds,0,0
74,Alugan,PH,2020-12-09 18:48:52,12.22,125.48,80.38,85,100,8.81,overcast clouds,0,0
75,Vrangel,RU,2020-12-09 18:48:53,42.73,133.08,29.52,82,90,4.09,overcast clouds,0,0
76,Kruisfontein,ZA,2020-12-09 18:48:53,-34.0,24.73,66.0,93,100,7.65,light rain,0,0
77,Georgetown,MY,2020-12-09 18:47:56,5.41,100.34,80.6,83,20,4.7,few clouds,0,0
78,Sofiyivka,UA,2020-12-09 18:48:53,48.05,33.87,26.6,73,0,6.71,clear sky,0,0
79,Flinders,AU,2020-12-09 18:48:53,-34.58,150.86,60.01,80,92,1.01,overcast clouds,0,0
80,Geraldton,AU,2020-12-09 18:48:53,-28.77,114.6,68.0,82,90,6.93,overcast clouds,0,0
81,Mehamn,NO,2020-12-09 18:48:54,71.04,27.85,35.6,80,75,13.87,broken clouds,0,0
82,Byron Bay,AU,2020-12-09 18:48:54,-28.65,153.62,66.2,93,90,4.09,overcast clouds,0,0
83,Faanui,PF,2020-12-09 18:48:54,-16.48,-151.75,79.45,73,100,15.12,light rain,0,0
84,Bambanglipuro,ID,2020-12-09 18:48:54,-7.95,110.28,78.4,85,99,11.34,overcast clouds,0,0
85,New Norfolk,AU,2020-12-09 18:48:55,-42.78,147.06,46.99,63,0,4.0,clear sky,0,0
86,Talcahuano,CL,2020-12-09 18:44:28,-36.72,-73.12,69.8,49,0,17.22,clear sky,0,0
87,Kapaa,US,2020-12-09 18:48:55,22.08,-159.32,73.99,94,20,4.7,light rain,0,0
88,Luderitz,NA,2020-12-09 18:48:55,-26.65,15.16,63.01,80,0,14.76,clear sky,0,0
89,Hami,CN,2020-12-09 18:48:56,42.8,93.45,17.8,86,0,2.82,clear sky,0,0
90,East London,ZA,2020-12-09 18:48:56,-33.02,27.91,69.8,77,0,5.82,clear sky,0,0
91,Dikson,RU,2020-12-09 18:48:56,73.51,80.55,-11.29,87,0,5.91,clear sky,0,0
92,Kuandian,CN,2020-12-09 18:48:56,40.73,124.78,28.81,98,86,2.8,overcast clouds,0,0
93,Xuddur,SO,2020-12-09 18:48:56,4.12,43.89,78.66,30,9,9.57,clear sky,0,0
94,Sarankhola,BD,2020-12-09 18:48:56,22.31,89.79,63.77,72,40,0.92,scattered clouds,0,0
95,Key Largo,US,2020-12-09 18:46:49,25.09,-80.45,63.0,53,0,11.41,clear sky,0,0
96,Fare,PF,2020-12-09 18:48:57,-16.7,-151.02,80.78,74,100,18.66,moderate rain,0,0
